[Sun Nov 26 11:29:17.180113 2017] [:error] [pid 3539] [client 123.49.46.144:41607] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer/order/
[Sun Nov 26 11:29:17.180192 2017] [:error] [pid 3539] [client 123.49.46.144:41607] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer/order/
[Sun Nov 26 11:29:17.180206 2017] [:error] [pid 3539] [client 123.49.46.144:41607] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer/order/
[Sun Nov 26 11:30:05.379506 2017] [:error] [pid 3543] [client 123.49.46.144:41903] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/admin
[Sun Nov 26 11:30:05.379604 2017] [:error] [pid 3543] [client 123.49.46.144:41903] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/admin
[Sun Nov 26 11:30:05.379621 2017] [:error] [pid 3543] [client 123.49.46.144:41903] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/admin
[Sun Nov 26 11:30:05.380697 2017] [:error] [pid 3543] [client 123.49.46.144:41903] PHP Fatal error:  Call to undefined method adminModel::getCustomer() in /var/www/tawhid/app/controllers/admin.php on line 177, referer: http://50.116.58.130:443/admin
[Sun Nov 26 11:30:11.991876 2017] [:error] [pid 3535] [client 123.49.46.144:41963] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:11.991995 2017] [:error] [pid 3535] [client 123.49.46.144:41963] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:11.992021 2017] [:error] [pid 3535] [client 123.49.46.144:41963] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:12.270581 2017] [:error] [pid 3535] [client 123.49.46.144:41963] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:12.270651 2017] [:error] [pid 3535] [client 123.49.46.144:41963] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:12.270665 2017] [:error] [pid 3535] [client 123.49.46.144:41963] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:37.085537 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.085643 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.085663 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.359139 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.359203 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.359217 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.631567 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.631630 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:37.631643 2017] [:error] [pid 4429] [client 123.49.46.144:42205] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:30:44.681745 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:44.682053 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:44.682091 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:44.958545 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:44.961554 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:44.961602 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:45.235753 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:45.235825 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
